Townsquare,Platform,Category,Product,Sub Product,Sub Product Alias Code,Medium,Rate,KPI,Data Value
Ignite,Google Ad Words,Programmatic,YouTube,YouTube True View,YT-TV,Video,$0.15,CPV,youtube
Ignite,Google Ad Words,Programmatic,YouTube,YouTube Bumper,YT-Bumper,Video,$18.00,CPM,youtube
Ignite,Ignite Network,CPM Display,Ignite Network,Ignite Network - Banner Ads,Ignite Network - Banner Ads,Display,,,cpmDisplay
Amped,Facebook,Local Social,SSM,Sponsored Social Mentions - Link Click,SSM - Link Click; Social Impact - Link Click,"Single Image, or Video",$5.00,CPLC,socialMention
Amped,Facebook,Local Social,SSM,Sponsored Social Mentions - Awareness,SSM - Awareness; Social Impact - Awareness,"Single Image, or Video",$20.00,CPM,socialMention
Amped,Facebook,Local Social,SSM,Sponsored Social Mentions - ThruPlay,SSM - ThruPlay; Social Impact - Thruplay,Video,$0.37,CPV,socialMention
Amped,Google Ad Words,Local Display,CPM Display,Banner Ads,Banner Ads (All Postions),Display,$7.00,CPM,localDisplay
Amped,Google Ad Words,Local Display,CPM Display,Amplifier,Amplifier,Display,$7.00,CPM,localDisplay
Amped,Google Ad Words,Local Display,CPM Display,Ignite Network,Ignite Network,Display,$7.00,CPM,localDisplay
Amped,Google Ad Words,Local Display,CPM Display,Local Network,Local Network,Display,$7.00,CPM,localDisplay
Amped,Google Ad Words,Local Display,CPM Display,Mobile Billboard,Mobile Billboard,Display,$11.00,CPM,localDisplay
Amped,Radio Station,Local Display,Takeovers,Station Site Takeovers,Station Site Takeovers,Display,$5.00,CPM,localDisplay
Amped,Radio Station,Local Display,Sponsorship,Content Sponsorship,Content Sponsorship,Display,$5.00,CPM,localDisplay
Amped,Radio Station,Local Display,Sponsorship,Contest Sponsorship,Contest Sponsorship,Display,$5.00,CPM,localDisplay
Amped,Radio Station,Local Display,Sponsorship,Listen Live Sponsorship,Listen Live Sponsorship,"Video, Audio, Image",$5.00,CPM,localDisplay
Amped,Radio Station,Local Display,Sponsorship,Station App Sponsorship,Station App Sponsorship,Display,$5.00,CPM,localDisplay
Amped,Radio Station,Local Display,Digital Endorsements,Advertorial,Advertorial,Display,$5.00,CPM,localDisplay
Amped,Radio Station,Local Display,Digital Endorsements,Booth,Booth,Display,$5.00,CPM,localDisplay
Amped,Radio Station,Local Display,Digital Endorsements,Endorsement,Endorsement,Display,$5.00,CPM,localDisplay
